音声ファイル読み込み中...
ファイルサイズ: 24.7MB
Gemini 2.5 Flash に送信中...
処理時間: 131.8秒

===== 文字起こし結果 =====
ゆのん（女性）: [7:24] これ、なんか、ちょっとぶべーってふざけて、「え、これちょっと面白くない？」って言ったら「面白い！」みたいな。「面白い！面白い！」面白くなくても言ってくれたりとか、なんか、それでゆのんは調子上がって。
おさき（女性）: [7:36] 確かにそうだね。
おさき（女性）: [7:37] ちょっと否定されると「ん？なにこの人」みたいな。
ゆのん（女性）: [7:40] 「何この人」っていうか。
おさき（女性）: [7:41] 「え？え？面白くなかったか」みたいな。
おさき（女性）: [7:44] 結構気にするから、「今日ゆのんしけたわ」みたいな。
ゆのん（女性）: [7:47] あー。
おさき（女性）: [7:48] 「今日ゆのん調子悪かったね。しらけたねなんか」。
ゆのん（女性）: [7:50] いやいや。
ディレクター（男性）: [7:53] だから、もっとこう可愛くて。意外と気にしてたんだ、みたいな。
みみこ（女性）: [7:56] で、あとここだね。ここはね、すごい重要です。
みみこ（女性）: [8:00] あの、家族とか、自宅、晩年、自分の居場所。ここに土星が入ってて、土星はプレッシャーとか試練とか課題の星ですね。
ゆのん（女性）: [8:10] へえ。
みみこ（女性）: [8:11] この土星の特性を見るに、実はこれ完全に自分の一家の中心人物、ま、影のドンは多分ゆのんさん。
ゆのん（女性）: [8:21] えー！
おさき（女性）: [8:22] ええ。
ディレクター（男性）: [8:23] 影のドン。
みみこ（女性）: [8:24] うん。あの、どんなにお父さんとかおばあちゃんとか、色々ね、あの、目上の人がいたとしても、ゆのんちゃんがなんか、ぽろっと言うと「あ、そうかも」みたいな感じでまとまってきたりとかしません？
ゆのん（女性）: [8:36] ああー。
おさき（女性）: [8:37] なんか色んなこと。
おさき（女性）: [8:38] 「え、こう行きたくない」とか言ったら、「あ、じゃあ変える」みたいな。
ゆのん（女性）: [8:40] あー！
おさき（女性）: [8:45] 全てなんか、ある種コントロール。
みみこ（女性）: [8:47] なんでかっていうと、ちょっとどっかで家族を引っ張ってまとめていかないとっていう気持ちが、多分自分の中ですごく強く出る。で、それがなんか幼少期がそれが芽生えたっていうのが出てるんだけど。
ゆのん（女性）: [8:59] へえ。
みみこ（女性）: [9:00] 大体4歳ぐらいなんだけど。
ゆのん（女性）: [9:02] え？幼少期？
ゆのん（女性）: [9:03] 覚えてないよね、多分、4歳。
おさき（女性）: [9:04] 責任感すごいね、4歳。
ゆのん（女性）: [9:06] わー！
おさき（女性）: [9:08] すごいじゃん。何だろう？
ゆのん（女性）: [9:10] 4歳。
おさき（女性）: [9:10] 4歳の時期はでも、まあ、普通に幸せだったけど。なんかパパとママが性格が真反対すぎて、なんかめっちゃ喧嘩とかした時は結構「うわー」ってなった時があったけど。
ゆのん（女性）: [9:14] 楽しいね、幸せ。
ディレクター（男性）: [9:28] へえー、そうなんだ。
みみこ（女性）: [9:30] その時、多分、自分が可愛い一言ぽろっと言ったりとか、なんかこう二人のなんかこうちょっとなんか正反対のところに、あの、まあ、例えばゆのんちゃんが「私はこうしたい」とかってぽろっと可愛く言ったりとかすると、ちょっと喧嘩が収まるじゃないけど、争いが収まる、とか。
おさき（女性）: [9:47] ありそう。
ゆのん（女性）: [9:48] へえー。
おさき（女性）: [9:49] あ、パパ今台所で怒って言ったわ、とか思ってパパのところにカタカタカタとか言ってLINE打ったりとか。
みみこ（女性）: [9:53] そうそうそう、そういうことそういうこと。それをね、時代やってるはず。ちっちゃい頃からやってる。
おさき（女性）: [9:58] だって喧嘩とかしてほしくないもん。
ゆのん（女性）: [10:00] うん。
おさき（女性）: [10:01] すごい。
おさき（女性）: [10:02] 喧嘩してほしくないもん、だって。
ゆのん（女性）: [10:04] 逆にさっきパパに対して行動ないなとか、パパが逆にママにそれ「言いすぎ」って時もあるんですよ。
おさき（女性）: [10:09] うんうんうん。
ゆのん（女性）: [10:10] 利益、それはもう、どっちもに言う。「おさきもやりすぎ」とか。
おさき（女性）: [10:13] へえー。
ゆのん（女性）: [10:14] もう、「落ち着いて」とか。
ディレクター（男性）: [10:17] いいじゃん。めっちゃすごいじゃん。
おさき（女性）: [10:20] ママが多分ゆのんっぽいんかな、ちょっと。ママがちょっとゆのんの性格みたい感じで、もう、今の事しかなくてちょっと目に見ないっていうか。パパは、その、先の先まで考えて「思ったんじゃけど、なんか」分かる？「しっかりしてるのと」みたいな。
ゆのん（女性）: [10:33] ああ。
おさき（女性）: [10:35] そう、ちょっと、ちょっと、バカ。
ゆのん（女性）: [10:38] うん。
おさき（女性）: [10:39] みたいな。ちょっと抜けてる、マイペースみたいなところがあって。でもパパが怒った時の感じがゆのんにめっちゃ似てるんですよ。
ゆのん（女性）: [10:45] へえー。
おさき（女性）: [10:46] 普段のゆのんの感じだとママっぽいんですけど、怒った時とかがめっちゃパパで、パパがカチってくるポイントも分かるし。
ディレクター（男性）: [10:55] ああー。
おさき（女性）: [10:57] 逆に言えばママがここ聞いてなかったりとか、「こう思うよね」って言うとこの感情はめっちゃわかる。
ゆのん（女性）: [11:02] へえー。
みみこ（女性）: [11:03] で、あとね、このお部屋って、実はこう健康っていうキーワードもあるんですよ。だから体絶対に冷やさない方がいいです。
ゆのん（女性）: [11:12] へえー。
ディレクター（男性）: [11:13] そうなんだ。
ディレクター（男性）: [11:13] 冷え症はどうですか？
ゆのん（女性）: [11:15] 冷え性です。
ゆのん（女性）: [11:16] 冷え性じゃけど、暑がりなんですよね、なんか。
おさき（女性）: [11:18] うんうんうんうん。
ゆのん（女性）: [11:19] じゃけ、どうしたらいいんかな、みたいな。
おさき（女性）: [11:21] やばいじゃん、常に家で。
ゆのん（女性）: [11:22] 家でもタンクトップだよ。
おさき（女性）: [11:23] ゆのんは。
ゆのん（女性）: [11:24] ゆのんは冬でもタンクトップです。
みみこ（女性）: [11:27] 子供欲しいよね。
ゆのん（女性）: [11:29] 子供ですか？
みみこ（女性）: [11:29] うん。
ゆのん（女性）: [11:30] 子供３人欲しい。
みみこ（女性）: [11:31] そうだよね。
みみこ（女性）: [11:32] 体の冷えが、あの、関係してきちゃうから。
ゆのん（女性）: [11:35] え、お願い。
みみこ（女性）: [11:37] だから温めて欲しい。
ゆのん（女性）: [11:39] 分かりました。
おさき（女性）: [11:39] 温めてタンクトップもう着ないで。
みみこ（女性）: [11:42] 冷え症なのにタンクトップ着ちゃうとかって、何が起こってるかっていうと、多分ほてりになっちゃってる。
おさき（女性）: [11:48] うん。
みみこ（女性）: [11:48] だから本当は体めっちゃ冷えてるのに、脳がちょっと熱いって認識をしちゃってる。
ゆのん（女性）: [11:54] へえー。
みみこ（女性）: [11:55] これあんま良くないケース。
ゆのん（女性）: [11:56] え？え？
おさき（女性）: [11:57] じゃ体はさ、寒がってるんじゃない？
ゆのん（女性）: [11:59] 体は寒がってるけど、脳がほてって。
おさき（女性）: [12:01] へー。
ゆのん（女性）: [12:02] やばいじゃん。
おさき（女性）: [12:03] そんなの。
ゆのん（女性）: [12:05] そんなのおかしいじゃん。
おさき（女性）: [12:07] なんでほてっちゃってるんですかね？
みみこ（女性）: [12:08] 冷えてる方が落ち着くみたいのにはなってるはずなのよね。なんか水とか好きでしょ？水とか。
ゆのん（女性）: [12:13] 好き。
おさき（女性）: [12:14] 冷たいのが。
みみこ（女性）: [12:14] 冷たいのっていうのが、実は落ち着くっていうのもあるの。一方でね。だけど女性としてはやっぱりお子さんを産むっていう時に体温が低いと不利になっちゃうんで。
ゆのん（女性）: [12:23] はあー。
みみこ（女性）: [12:24] オススメは。
ゆのん（女性）: [12:25] はい。
みみこ（女性）: [12:26] いわゆる首と言われているところを温める。手首とか足首とか。
ゆのん（女性）: [12:31] へえー。
みみこ（女性）: [12:32] ま、普通の首、ネックとか。
ゆのん（女性）: [12:33] はい。
おさき（女性）: [12:34] 守りなさい、首を。
みみこ（女性）: [12:35] タンクトップ着ながらそういうちょっとウォーマーだとか。
ゆのん（女性）: [12:39] すごい状況なんですけど。
おさき（女性）: [12:40] すごい状況。
みみこ（女性）: [12:42] これ見てる。
おさき（女性）: [12:43] これで。
みみこ（女性）: [12:44] 多分見てるYouTuber見てる人も許してくれる。
おさき（女性）: [12:47] 確かに。
ゆのん（女性）: [12:48] だからだ、ってなるね。
おさき（女性）: [12:49] そうそう。
ゆのん（女性）: [12:50] だからもう首だけは守って。
みみこ（女性）: [12:52] いわゆる首っていうところをね、ちょっと温めると。
ゆのん（女性）: [12:55] へえー。そうなんだ。
みみこ（女性）: [12:56] そうすると体質改善がちょっとずつしてくると思う。
ゆのん（女性）: [12:59] はい。
みみこ（女性）: [12:59] 今度はさきちゃんの番。
ゆのん（女性）: [13:00] イエーイ！
おさき（女性）: [13:01] イエーイ！
ゆのん（女性）: [13:02] 来ました。
おさき（女性）: [13:02] はい。
ゆのん（女性）: [13:03] さき来ました。
みみこ（女性）: [13:07] こちらになります。
おさき（女性）: [13:08] はい。
みみこ（女性）: [13:09] さっきもね、あの、もう、ファーストコンタクトとしては似てるよって話をしたと思うんですけど、やはり大事なのが太陽なんで、この同じですね。6番ですね。
おさき（女性）: [13:17] イエーイ。
みみこ（女性）: [13:18] 今度は太陽とこの金星と、あとこの火星ですね。ほとんど一緒にもうグッと固まってる。めっちゃ固まってるっていう。
おさき（女性）: [13:26] うんうん。
みみこ（女性）: [13:28] 金星って美しい、美の女神もちょっと関係してくるんですよ、英語で言うと。だから美っていうのがすごいやっぱ関係してくるから、とにかくね、美しくなることとか、自分磨きとかにこう余念がなくなってくる。
おさき（女性）: [13:33] うん。
おさき（女性）: [13:42] 美、美、美。
ディレクター（男性）: [13:43] さきちゃん、すごいなんか努力家。
みみこ（女性）: [13:45] そう、美意識がすごい強くて。それに感謝はもう、とにかくコツコツコツコツ。
おさき（女性）: [13:47] 確かに。
ゆのん（女性）: [13:51] うわー。
おさき（女性）: [13:52] うん、そうです。
みみこ（女性）: [13:52] やっていくことになるんだよね。
ゆのん（女性）: [13:54] すごくない？
おさき（女性）: [13:55] 仕事がオフになったらとりあえず美容サロンどっか予約しなきゃ、みたいな。
みみこ（女性）: [13:59] そうそうそう。
おさき（女性）: [14:00] なっちゃう。
みみこ（女性）: [14:00] で、細かいとこに目がいっちゃうの。だから、なんか、例えばここ細くしたいとか、肌きれいにしたいとか。あの、とにかくテーマを決めてその時その時で解決策を考えないといけない。
おさき（女性）: [14:03] うん。
ゆのん（女性）: [14:06] うわー。
おさき（女性）: [14:12] うんうんうん。
ゆのん（女性）: [14:13] ほんとそう。
おさき（女性）: [14:13] 今回は腕とか。今回は肌とか。
ゆのん（女性）: [14:16] そう。
おさき（女性）: [14:17] すごい。
ゆのん（女性）: [14:18] なんかちょっと気になるなって思ったら、そこ解決しなきゃ次に進めなくて。
おさき（女性）: [14:22] うん。
みみこ（女性）: [14:22] そうなんです。
おさき（女性）: [14:23] いろんな病院とか調べて、薬とか調べたりして、そこ解決して次進むみたいな。
みみこ（女性）: [14:27] そう、そうなんです。
おさき（女性）: [14:29] え、すご！
みみこ（女性）: [14:34] だから美容の分野で活躍するのはこう向いてるし。
おさき（女性）: [14:36] へえー。
みみこ（女性）: [14:37] あとこう自己の、開発の商品を売るのもいい。
おさき（女性）: [14:40] ええー。
ゆのん（女性）: [14:41] そうなんですか？
みみこ（女性）: [14:42] そう。だってもとことん研究するから。
ゆのん（女性）: [14:44] うおー。
おさき（女性）: [14:45] 私プロデュース系やるの夢なので。
みみこ（女性）: [14:47] あ、それはすごい向いてる。
おさき（女性）: [14:49] え、嬉しい。
みみこ（女性）: [14:50] うんうん。
みみこ（女性）: [14:51] ただね、あの、この細かいところに気がつきすぎるってことなんだけど、これ長所でもあり短所でもあるのね。割と自分のことも気になっちゃうから。例えばエゴサしちゃったりとか、「何て私言われてるんだろう」みたいなことをもうめちゃめちゃチェックしちゃうはずで。
おさき（女性）: [14:58] うん。
おさき（女性）: [15:06] します。
ゆのん（女性）: [15:07] うーん。
おさき（女性）: [15:08] なんかそれで落ち込むとかないんですけど、あんま病むとかはないんですけど、とにかく自分がどう思われてるかすっごい気になるみたいな。ただただ気になってめっちゃエゴサしちゃうし、自分のもう悪口とかももう、もう見ちゃう。
みみこ（女性）: [15:21] そう。
みみこ（女性）: [15:22] で、悪口書かれるとそれに対する対応策とか考え始める。
おさき（女性）: [15:26] うわー、なんかちょっとアスリートっぽいところ。
ゆのん（女性）: [15:29] え、そうなん？
おさき（女性）: [15:30] あるの？
みみこ（女性）: [15:31] 直さなきゃって思うでしょ。もう、逆から言うと、え、悪口書かれることが、もうむしろなんか「はい、ありがとうございます」。
ゆのん（女性）: [15:39] えー！
おさき（女性）: [15:40] っていう感じに、とにかく言い返したくてしょうがない、みたいな。
おさき（女性）: [15:42] だから、なんか言われたらすぐ動画に出すし、「このコメントについて話します」みたいな。
ゆのん（女性）: [15:47] あー、やってるわ。
おさき（女性）: [15:48] やってるわ。
おさき（女性）: [15:49] もう、とにかくもう話さないと気がすまない、みたいな。
みみこ（女性）: [15:52] うんうんうん。
おさき（女性）: [15:53] だから病むっていうよりかはムカつく、みたいな。言い返したくてムズムズする、みたいな感じに近いですね。
ゆのん（女性）: [15:59] うわー！
おさき（女性）: [16:00] マシンガンみたいに、ベラベラベラベラ。
みみこ（女性）: [16:02] そう。
みみこ（女性）: [16:03] 大雑把に、わざと自分にこう鈍感力をつけるっていうのもすごい大事で。
おさき（女性）: [16:08] 確かに。
みみこ（女性）: [16:09] いちいち気にしないっていう風になっていくと、あの、実は人生がうまく回り始める。
ゆのん（女性）: [16:14] うわー。
ゆのん（女性）: [16:15] それ人にたいしてもそうなんですか？
みみこ（女性）: [16:16] それはもう、そうですね。全般にたいしてそう。
ゆのん（女性）: [16:18] うわー、そうなんだ。
みみこ（女性）: [16:20] パートナーシップの部屋なんですよね。11室のね、この天王星、あ、海王星とも相まって。ええと、海王星っていうのは不安とか恐怖とか苦手なんですよ。友達とかチームとか仲間のところに入ってるんだけど、あの、だからいらないんですよ。そんなたくさんの人いらない。
ゆのん（女性）: [16:26] うんうん。
ゆのん（女性）: [16:35] いや、いらないいらないいらない。
おさき（女性）: [16:36] むしろ、むしろなんか、あの、手に余る。
みみこ（女性）: [16:38] うん。
おさき（女性）: [16:39] 本当にそう。
ゆのん（女性）: [16:40] そんな人。
おさき（女性）: [16:41] いや、ほんとにそう。キャパがあるんですよ。
みみこ（女性）: [16:42] キャパ。
おさき（女性）: [16:43] 友達の。
ゆのん（女性）: [16:44] うん。
ゆのん（女性）: [16:44] そうなんです。
おさき（女性）: [16:45] すごい。
ゆのん（女性）: [16:45] なんでですか？
ゆのん（女性）: [16:46] みみこ先生。
おさき（女性）: [16:47] みみこ先生。
ゆのん（女性）: [16:48] みみこ先生。
みみこ（女性）: [16:50] もう、いい。これ。なかなかね、あの、ちょっと、あの、テンション上がるわ。
ゆのん（女性）: [16:51] いいな、これ。
おさき（女性）: [16:56] っていうのがあって。
ゆのん（女性）: [16:58] ほんとにそう。
みみこ（女性）: [16:59] で、あとですね、ここね、7番ですね。人との相性、恋人、パートナー、仕事相手のところに、この2つが入っています。表現力もかなり豊かだし、だから洞察力も鋭い。
おさき（女性）: [17:12] 確かに。
みみこ（女性）: [17:13] だから、あの、演技とかも向いてて。なりきり型の憑依型になれるんで、役の難易度高ければ高いほどやってみるといいんだって。
おさき（女性）: [17:15] へえ。
おさき（女性）: [17:22] まじか。
ゆのん（女性）: [17:23] そうなの。
おさき（女性）: [17:24] いいの？
ゆのん（女性）: [17:25] やりましょう。
おさき（女性）: [17:26] どんどん、どんどんやってこ、もう。
ゆのん（女性）: [17:28] やってこ。
おさき（女性）: [17:29] ええー。ちなみに。
ディレクター（男性）: [17:30] ちなみになんですけど。
おさき（女性）: [17:32] 私、実は子役を最初にやってたんですよ。この活動する前に。
みみこ（女性）: [17:35] あ、子役。
おさき（女性）: [17:36] 小学校1年生から小学校5年生ぐらいまでやってて。で、弟も子役やってたんですけど。で、弟はもう連ドラ決まって毎日朝から夜までずっと撮影ママと一緒に行ってて。
みみこ（女性）: [17:41] うん。
