音声ファイル読み込み中...
ファイルサイズ: 24.7MB
Gemini 2.5 Pro に送信中...
処理時間: 256.4秒

===== 文字起こし結果 =====
ゆのん（女性）: [3:34] ああああ
おさき（女性）: [3:34] ははははは
ゆのん（女性）: [3:35] ほんまにそう。
おさき（女性）: [3:37] ほんまにそう。
ゆのん（女性）: [3:38] ほんまにそう。
おさき（女性）: [3:39] だからお互い貴重な存在のはず。
ゆのん（女性）: [3:41] ええ！？
おさき（女性）: [3:41] めっちゃそう。
ゆのん（女性）: [3:43] ありがとね。
おさき（女性）: [3:43] ありがとね。
ゆのん（女性）: [3:44] ふふふふ
みみこ（女性）: [3:51] えっ、ゆのんさんのね、星がこういうことになってます。
ゆのん（女性）: [3:54] はい。
みみこ（女性）: [3:56] 一番大切なこと自分らしさとか本質ってのはこの太陽なんですね。太陽重要で。太陽と月っていうのは表向きの顔でしょ？で月ってのは裏の顔だから。これが割と近い位置にいるってことによって裏表がないってことになっちゃうので。
ゆのん（女性）: [4:10] あ、そういうことか。
みみこ（女性）: [4:10] そうそう。だから結構偉い人とか目上の人とか。
ゆのん（女性）: [4:13] はい。
みみこ（女性）: [4:14] あの、力がある人に好かれるっていうのもある。
ゆのん（女性）: [4:17] ええ！？
おさき（女性）: [4:17] 確かに。
ゆのん（女性）: [4:18] そうなん。年上にめっちゃ好かれるし、年上も好きじゃん。
おさき（女性）: [4:22] 年上も好き。
みみこ（女性）: [4:23] なんでそういうことになるかというと人によって態度を変えないので。
ゆのん（女性）: [4:26] ああああ
おさき（女性）: [4:27] 確かに。
みみこ（女性）: [4:28] 挨拶、お礼、これを徹底すると買運します。
ゆのん（女性）: [4:32] わあ
おさき（女性）: [4:34] あ、でも本当にちっちゃい頃から、あの、おばあちゃんとかママからはもうずっともうゆのんはもうおばあちゃんかずっともう「挨拶は大事よ」みたいな。「挨拶大事大事」みたいな感じで「おはようございます」みたいなことももう大事にしてました。もう「ありがとう」とか。
ゆのん（女性）: [4:50] 転居にあなた行きなさいよみたいな感じでずっと言われてましたおばあちゃんとかママからは。
おさき（女性）: [4:54] そう。
ゆのん（女性）: [4:54] じゃあ変わらないでね。
おさき（女性）: [4:55] はい。
ゆのん（女性）: [4:56] はい。
おさき（女性）: [4:57] ああああ
みみこ（女性）: [4:58] あと、月と火星がこうぴったりくっついてるんですよ、今度は。
ゆのん（女性）: [5:02] くっついてるじゃん。
おさき（女性）: [5:03] くっついてる。
みみこ（女性）: [5:04] くっついてる。
ゆのん（女性）: [5:05] これくっついてる。
おさき（女性）: [5:06] くっついてるじゃん。
みみこ（女性）: [5:06] そう。感情と行動が直結するので全てにおいてオーバーリアクション。
ゆのん（女性）: [5:12] ああああ
おさき（女性）: [5:13] え、それ今見てたでしょ。
みみこ（女性）: [5:14] そう。
ゆのん（女性）: [5:14] なんで？
みみこ（女性）: [5:15] そう。
ナレーター（女性）: [5:16] Work On
ナレーター（女性）: [5:18] Work On
みみこ（女性）: [5:19] 感情を全てこう体でこう表現しちゃう。
ゆのん（女性）: [5:22] 確かに。
おさき（女性）: [5:24] 確かに。さきちゃんのことも「さきちゃんってあいき」
ゆのん（女性）: [5:26] もう。
おさき（女性）: [5:27] 全てを伝えてくれる。
みみこ（女性）: [5:29] 必ず体のどっか動いてる。
ゆのん（女性）: [5:32] 動いてる。
おさき（女性）: [5:32] 待って。
ゆのん（女性）: [5:33] あってる。
おさき（女性）: [5:34] そうそうそう。
ゆのん（女性）: [5:35] ゆのんちょっと「落ち着いて」って言われるんですよ。
おさき（女性）: [5:37] ほんと。真剣にこっちは取り組んでるし、入り込んでるつもりなんだけど。
ゆのん（女性）: [5:40] 「ちょっと落ち着け」みたいな。
おさき（女性）: [5:42] ゆのんよりもよく言われる。
ゆのん（女性）: [5:43] ああ
おさき（女性）: [5:44] ちょっと「抑えめにあと20%ぐらいでいける」みたいな感じで。
ゆのん（女性）: [5:47] 言われる。
おさき（女性）: [5:48] これなんですよね。
ゆのん（女性）: [5:49] もう仕方ない。
みみこ（女性）: [5:50] 生まれた時から決まってますから。
おさき（女性）: [5:52] ああ
みみこ（女性）: [5:53] あとこの水星ね、ここもう一個あるんですけど。
ゆのん（女性）: [5:55] はい。
みみこ（女性）: [5:56] この水星の特性上、実は食べてコミュニケーションを取るのが好きってことなんです。
ゆのん（女性）: [6:01] 食べるのが。
みみこ（女性）: [6:02] 心を許してる人とだったらご飯一緒に食べたい。
ゆのん（女性）: [6:05] へえ。
おさき（女性）: [6:07] あたってる。
ゆのん（女性）: [6:08] あたってる。
おさき（女性）: [6:08] ああああ
ゆのん（女性）: [6:09] ああああ
おさき（女性）: [6:10] ああ
ゆのん（女性）: [6:10] ああ
おさき（女性）: [6:11] え、今考えたら当たってるわ。
ナレーター（女性）: [6:14] Work On
ナレーター（女性）: [6:15] Work On
おさき（女性）: [6:17] ご飯行こうとか。
ゆのん（女性）: [6:18] うんうん。
おさき（女性）: [6:18] 食べに行こうって人は、ゆのんがちょっとリラックスできる人とかじゃないと行かんかも。
ゆのん（女性）: [6:22] 絶対行かないと思う。
おさき（女性）: [6:23] ご飯行こうとか。
ゆのん（女性）: [6:23] うんうん。
おさき（女性）: [6:24] そうそう。
みみこ（女性）: [6:25] そういう人とご飯食べてる時のゆのんちゃんってすごい可愛くなるんですよ。
おさき（女性）: [6:31] ああ
ゆのん（女性）: [6:31] ああああ
おさき（女性）: [6:32] 子供みたいな感じになっちゃう気がする。
ゆのん（女性）: [6:34] ああ
おさき（女性）: [6:34] 美味しいね。
ゆのん（女性）: [6:35] ああああ
おさき（女性）: [6:35] 可愛い。
ゆのん（女性）: [6:36] ああああ
みみこ（女性）: [6:37] 感じになるから。
おさき（女性）: [6:38] そうだよ。
ゆのん（女性）: [6:39] うまい、みたいな。
おさき（女性）: [6:40] そうそうそうそう。
ゆのん（女性）: [6:41] 美味しい。
おさき（女性）: [6:42] うわあああ
ゆのん（女性）: [6:43] CM撮ってます、みたいな。
おさき（女性）: [6:44] うん。
みみこ（女性）: [6:46] あと、この10番ですよね。この海王星を見ると、縛られたり、こうなんかルールをゴリ押しされたりとかすると、もうその場から逃げたくない。
おさき（女性）: [6:55] うわあ
みみこ（女性）: [6:56] んです、よ。
ゆのん（女性）: [6:57] ああ。
おさき（女性）: [6:58] ああ。
ゆのん（女性）: [6:59] ああああ
おさき（女性）: [7:01] そう。
ゆのん（女性）: [7:01] ほんまにそう。
おさき（女性）: [7:03] ほんまにそう。
みみこ（女性）: [7:04] 自分のやり方をこう否定されちゃうと急に自信がなくなっちゃう。
ゆのん（女性）: [7:09] へえ。
みみこ（女性）: [7:10] あの、調子崩しちゃう配置。
おさき（女性）: [7:12] 確かに。
ゆのん（女性）: [7:13] そうなんですよ。
みみこ（女性）: [7:14] だからそのやり方でいいよっていう風にこう後押ししてくれたり肯定してくれる人。そういう環境にいた方が実は自分はラッキー。
ゆのん（女性）: [7:22] へえ。
みみこ（女性）: [7:22] になっていくので。
おさき（女性）: [7:24] これ、なんかちょっと「ぶーぶー」ってふざけて「これちょっと面白くない？」って言ったら「面白い！」みたいな。
ゆのん（女性）: [7:29] 面白い。
おさき（女性）: [7:31] 面白くないって言っても言ってくれたりとか。
ゆのん（女性）: [7:34] なんかそれでゆのんが調子上がって。
おさき（女性）: [7:36] 確かにそうだね。
ゆのん（女性）: [7:37] ちょっと否定されると。
おさき（女性）: [7:38] うん。
ゆのん（女性）: [7:38] 「なにこの人」みたいな。
おさき（女性）: [7:39] え？
ゆのん（女性）: [7:40] 「なにこの人」っていうか、「え、え、面白くなかったか」みたいな。
おさき（女性）: [7:43] 結構気にするから「今日ゆのんしけたわ」みたいな。
ゆのん（女性）: [7:47] ああああ
おさき（女性）: [7:48] 「今日ゆのん調子悪かったね。しらけたねなんか」
ゆのん（女性）: [7:50] いやいやいやいやいやいや
おさき（女性）: [7:52] だからもうそこが可愛くて。意外と気にしてたんだみたいな。
みみこ（女性）: [7:56] であとここだね。ここはね、すごい重要です。
ゆのん（女性）: [8:00] うん。
みみこ（女性）: [8:00] あの、家族とか自宅晩年自分の居場所。ここに土星が入っていて、土星はプレッシャーとか試練とか課題の星ですね。
ゆのん（女性）: [8:11] へえ。
みみこ（女性）: [8:11] この土星の特性を見るに、実はこれ完全に自分の一家の中心人物、まあ影のドンは多分。
ゆのん（女性）: [8:19] ええ！？
おさき（女性）: [8:20] ゆのんさん。
ゆのん（女性）: [8:21] えええ！？
おさき（女性）: [8:22] えええ！？
みみこ（女性）: [8:23] 影のドン。
ゆのん（女性）: [8:24] うん。
みみこ（女性）: [8:24] あの、どんなにお父さんとかおばあちゃんとか、色々ね、あの目上の人がいたとしてもゆのんちゃんがなんかポロッと言うと「あ、そうかも」みたいな感じでもまとまってきたりとかしません？
ゆのん（女性）: [8:36] ああ。なんかいろんなこと。
おさき（女性）: [8:38] 「え、こう行きたくない」とか言ったら「あ、じゃあ変える」みたいな。
ゆのん（女性）: [8:39] ああああ
おさき（女性）: [8:40] ああああ
ナレーター（女性）: [8:41] Work On
ナレーター（女性）: [8:43] Work On
みみこ（女性）: [8:45] 全てなんかある種コントロール。
ゆのん（女性）: [8:46] コントロール。
みみこ（女性）: [8:47] なんでかっていうと、ちょっとどっかで家族を引っ張ってまとめていかないとっていう気持ちが多分自分の中ですごく強く出る。で、それがなんか幼少期がそれが芽生えたっていうのが出てるんだけど。
ゆのん（女性）: [9:00] へえ。
みみこ（女性）: [9:00] 大体4歳ぐらいなんだけど。
ゆのん（女性）: [9:02] ええ！？
おさき（女性）: [9:03] 幼少期。
ゆのん（女性）: [9:03] 見てないよね、多分。
みみこ（女性）: [9:04] 責任感すごいんよ、4歳。
ゆのん（女性）: [9:05] ああああ
おさき（女性）: [9:06] うわあああ
ゆのん（女性）: [9:08] すごいじゃん。
おさき（女性）: [9:09] 4歳の時期はでもまあ普通に幸せ。楽しくて幸せ。じゃったけどなんかパパとママが性格が真反対すぎてもうなんかめっちゃ喧嘩とかした時は結構うわあってなった時はあったけど。
ゆのん（女性）: [9:21] うん。
おさき（女性）: [9:28] へえ、そうなんだ。
みみこ（女性）: [9:30] その時多分自分が可愛い一言ポロッと言ったりとか、なんかこう2人のなんかこうちょっとね性反対のところに、あの、まあ例えばゆのんちゃんが「私はこうしたい」とかってポロッと可愛く言ったりとかするとちょっと喧嘩が収まるじゃないけど争いが収まる。
ゆのん（女性）: [9:40] ああああ
おさき（女性）: [9:47] ありそう。
ゆのん（女性）: [9:48] へえ。
おさき（女性）: [9:49] あ、パパ今台所で怒って言ったわってか思ってパパが「カタカタカタ」とか言ってLINE打ったりとか。
ゆのん（女性）: [9:53] そうそうそう。そういうことそういうこと。
みみこ（女性）: [9:55] それをね、実際やってるはず。ちっちゃい頃からやってる。
ゆのん（女性）: [9:58] だって喧嘩とかして欲しくないもん。
おさき（女性）: [10:01] うん。
ゆのん（女性）: [10:01] すごい。
おさき（女性）: [10:02] 喧嘩して欲しくないもん、だって。
ゆのん（女性）: [10:04] 逆にさきのパパに対して行動ないなとか、パパが逆にママにそれ「言いすぎ」って時もあるんですよ。
おさき（女性）: [10:09] うんうんうんうん。
ゆのん（女性）: [10:10] だからそれはもうどっちもに言う。
おさき（女性）: [10:12] あ、さきもやりすぎとか。
ゆのん（女性）: [10:14] ええ！？
おさき（女性）: [10:14] もう「落ち着いて」とか。
ゆのん（女性）: [10:17] めっちゃいいじゃん。
おさき（女性）: [10:18] いいじゃん。めっちゃすごいじゃん。
ゆのん（女性）: [10:19] ママが多分ゆのんっぽいんかな、ちょっと。
おさき（女性）: [10:22] うん。
ゆのん（女性）: [10:22] ママがちょっとゆのんの性格みたいな感じで、もう今の事しかもうちょっと目にないてか。パパは、その先の先まで考えて。
おさき（女性）: [10:31] 思っとんじゃけど、なんか。
ゆのん（女性）: [10:33] ああ。
おさき（女性）: [10:33] 分かる。
ゆのん（女性）: [10:33] なんか、しっかりしてるのと。
おさき（女性）: [10:34] なんかちょっと。
ゆのん（女性）: [10:35] バカ。みたいな。
おさき（女性）: [10:38] ちょっと抜けてるマイペースみたいなところがあって。でもパパが怒った時の感じがゆのんにめっちゃ似てるんですよ。
ゆのん（女性）: [10:45] へえ。
おさき（女性）: [10:46] 普段のゆのんの感じだとママっぽいんですけど、怒った時とかがめっちゃパパで、パパがカチってくるポイントも分かるし。
ゆのん（女性）: [10:55] ああ。
おさき（女性）: [10:57] 逆に言えばママがここ聞いてなかったりとか「こう思うよね」って言うとこの感情はめっちゃ分かる。
ゆのん（女性）: [11:02] へえ。
みみこ（女性）: [11:03] で、あとね、このお部屋って実はこう健康っていうキーワードもあるんですよ。だから体絶対に冷やさない方がいいです。
ゆのん（女性）: [11:12] へえ。
みみこ（女性）: [11:13] 冷え性はどうですか？
おさき（女性）: [11:14] そうだね。
ゆのん（女性）: [11:15] 冷え性です。
おさき（女性）: [11:16] 冷え性じゃけど暑がりなんですよなんか。
ゆのん（女性）: [11:18] うんうんうん。
おさき（女性）: [11:19] じゃけもうどうしたらいいんかなみたいな。
ゆのん（女性）: [11:21] やばいじゃん。
おさき（女性）: [11:22] 常に家で。
ゆのん（女性）: [11:22] 家でもタンクトップだよ。
おさき（女性）: [11:23] ゆのんは。
ゆのん（女性）: [11:24] ゆのんは冬でもタンクトップです。
みみこ（女性）: [11:27] 子供欲しいよね？
ゆのん（女性）: [11:29] 子供ですか？
みみこ（女性）: [11:29] うん。
ゆのん（女性）: [11:30] 子供。
おさき（女性）: [11:31] 3人欲しい。
みみこ（女性）: [11:31] そうだよね。体の冷えが関係してきちゃう。
ゆのん（女性）: [11:35] ええ！？
おさき（女性）: [11:36] だから。
ゆのん（女性）: [11:36] お願いします。
みみこ（女性）: [11:37] だから温めてほしい。
ゆのん（女性）: [11:39] 分かりました。
おさき（女性）: [11:39] 温めてタンクトップもう着ないで。
ゆのん（女性）: [11:41] ああああ
おさき（女性）: [11:42] ああああ
みみこ（女性）: [11:42] 冷え症なのにタンクトップ着ちゃうとかって何が起こってるかっていうと多分ホテりになっちゃってる。
ゆのん（女性）: [11:48] ああああ
みみこ（女性）: [11:48] だから本当は体めっちゃ冷えてるのに脳がちょっと暑いって認識しちゃってるから。
ゆのん（女性）: [11:54] へえ。
みみこ（女性）: [11:55] これあんま良くないケース。
ゆのん（女性）: [11:56] ええ！？
おさき（女性）: [11:57] じゃあ体はさ、寒がってるんじゃない？
ゆのん（女性）: [11:58] 体は寒がってるけど、脳がほてって。
おさき（女性）: [12:02] ええ！？
ゆのん（女性）: [12:03] やばいじゃん。そんなの。
おさき（女性）: [12:04] そんなのおかしいじゃん。
ゆのん（女性）: [12:06] やばいじゃん。
おさき（女性）: [12:07] なんかほてっちゃってるんですかね？
みみこ（女性）: [12:08] 冷えてる方が落ち着くみたいのにはなってるはずなの。なんか水とか好きでしょ？水とか。
ゆのん（女性）: [12:13] 好き。
おさき（女性）: [12:14] 冷たいのが。
みみこ（女性）: [12:15] 冷たいのっていうのが、実は落ち着くってのもあるんです、一方ではね。だけど女性としてはやっぱりお子さんを産むっていう時に体温が低いと不利になっちゃうんで。
ゆのん（女性）: [12:23] はあ。
みみこ（女性）: [12:24] オススメは、いわゆる首と言われてるところを温める。
ゆのん（女性）: [12:29] て首とか。
みみこ（女性）: [12:30] 足首とか。
ゆのん（女性）: [12:31] へえ。
みみこ（女性）: [12:32] ま、普通の首、ネックとか。
ゆのん（女性）: [12:33] はい。
おさき（女性）: [12:34] 守りたい。
ゆのん（女性）: [12:34] 首を。
みみこ（女性）: [12:35] タンクトップ着ながらちょっとウォーマーだけとかつけたら。
ゆのん（女性）: [12:38] そうそうそう。
おさき（女性）: [12:39] 状況ない。
ゆのん（女性）: [12:40] 状況ない。
みみこ（女性）: [12:41] 状況ないですけど。
おさき（女性）: [12:42] これ見たら。
ゆのん（女性）: [12:43] うんうん。
みみこ（女性）: [12:44] 多分見てるYouTuber見てる人も許してくれる。
ゆのん（女性）: [12:46] 確かに。
おさき（女性）: [12:47] だってなるね。
ゆのん（女性）: [12:48] そうそうそう。
おさき（女性）: [12:49] その家だともう首だけは守っとけ。
ゆのん（女性）: [12:51] ああああ
みみこ（女性）: [12:52] いわゆる首っていうところがね、ちょっと温めると。
ゆのん（女性）: [12:55] へえ、そうなんだ。
みみこ（女性）: [12:56] そうすると体質改善がちょっとずつしてくると思う。
ゆのん（女性）: [12:59] はい。
みみこ（女性）: [12:59] 今度はさきちゃんの番。
ゆのん（女性）: [13:00] イエイ。
おさき（女性）: [13:01] イエイ。
ゆのん（女性）: [13:01] 来ました。
おさき（女性）: [13:02] はい。
ゆのん（女性）: [13:03] さきちゃん来ました。
みみこ（女性）: [13:07] こちらになります。
ゆのん（女性）: [13:08] はい。
みみこ（女性）: [13:09] さっきもね、あの、もうファーストコンタクトとしては似てるよって話をしたと思うんですけど。やはり大事なのが太陽なんで、この同じですね、6番ですね。
ゆのん（女性）: [13:17] いいじゃん。
みみこ（女性）: [13:18] 今度は太陽とこの金星と、あとこの火星ですね。ほとんど一緒でこうグッと固まってる。
ゆのん（女性）: [13:25] うん。
みみこ（女性）: [13:26] めっちゃ固まってるっていう。
ゆのん（女性）: [13:27] うんうん。
みみこ（女性）: [13:28] 金星って美しい美の女神もちょっと関係してくるんですよ、英語で言うと。だから美っていうのがすごいやの関係してくるから。とにかくね、美しくなることとか自分磨きとかにこう余念がない。
ゆのん（女性）: [13:42] ビ、ビ、ビ。
おさき（女性）: [13:43] さきちゃんすごいなんか努力家。
ゆのん（女性）: [13:45] そう。
みみこ（女性）: [13:45] 美意識がすごい強くて、それに感謝はもうとにかくコツコツコツコツ。
ゆのん（女性）: [13:47] 確かに。
おさき（女性）: [13:51] うん。
ゆのん（女性）: [13:52] そうです。
みみこ（女性）: [13:52] やっていくことになるんだよね。
ゆのん（女性）: [13:54] すごくない？
おさき（女性）: [13:55] 仕事がオフになったらとりあえず美容サロンどっか予約しなきゃみたいな。
ゆのん（女性）: [13:59] そうそうそうそう。
おさき（女性）: [13:59] なっちゃう。
みみこ（女性）: [14:00] で、細かいとこに目が行っちゃう。だから、なんか例えばここ細くしたいとか肌綺麗にしたいとか。あの、とにかくテーマを決めて、その時その時で解決策を考えないといけないんだよね。
ゆのん（女性）: [14:04] ああ。
おさき（女性）: [14:07] ああ。
ゆのん（女性）: [14:12] うん。
おさき（女性）: [14:13] ほんまにそう。
みみこ（女性）: [14:13] 今回は腕とか。
ゆのん（女性）: [14:14] ああ。
みみこ（女性）: [14:15] 今回は歯とか。
ゆのん（女性）: [14:16] そう。
おさき（女性）: [14:17] すごい。
ゆのん（女性）: [14:18] なんかちょっと気になるなって思ったら、そこ解決しなきゃ次に進めなくて。
おさき（女性）: [14:22] そうなんだよ。
ゆのん（女性）: [14:22] いろんな病院とか調べて、薬とか調べたりして、そこ解決して次進むみたいな。
おさき（女性）: [14:28] そう。そうなんだよ。
ゆのん（女性）: [14:29] え、すご。
ナレーター（女性）: [14:30] Work On
ナレーター（女性）: [14:32] Work On
みみこ（女性）: [14:34] だから美容の分野で活躍するのはこう向いてるし。
ゆのん（女性）: [14:36] へえ。
みみこ（女性）: [14:37] あとこう自己の開発の、商品を売るのもいい。
ゆのん（女性）: [14:40] ええ！？
おさき（女性）: [14:41] そうなんですか。
みみこ（女性）: [14:42] そう。だってとことん研究するから。
ゆのん（女性）: [14:44] うわあ。
おさき（女性）: [14:45] 私プロデュース系やるの夢なので。
みみこ（女性）: [14:47] あ、それはすごい向いてるよ。
ゆのん（女性）: [14:49] え、嬉しい。
おさき（女性）: [14:49] うん。
ゆのん（女性）: [14:50] うん。
みみこ（女性）: [14:51] ただね、あの、この細かいところに気がつきすぎるってことなんだけど。これ長所でもあり短所でもあるんだけ。割と自分のことも気になっちゃうから例えばエゴサーチしちゃったりとか、「あの、何って私言われてるんだろう」みたいなことをもうめちゃめちゃチェックしちゃうはずで。
ゆのん（女性）: [15:06] へえ。
おさき（女性）: [15:07] する。
ゆのん（女性）: [15:07] へえ。
おさき（女性）: [15:08] なんかそれで落ち込むとかはないんですけど。あんま病むとかはないんですけど。とにかく自分がどう思われてるか、すっごい気になるみたいな。ただただ気になってめっちゃエゴサしちゃうし、自分のもう悪口とかももう見ちゃう。
みみこ（女性）: [15:21] そう。
おさき（女性）: [15:22] で。
みみこ（女性）: [15:22] 悪口書かれるとそれに対する対応策とか考え始める。
ゆのん（女性）: [15:26] うわあ。
おさき（女性）: [15:27] なんかちょっとアスリートっぽいところ。
ゆのん（女性）: [15:28] ええ！？
おさき（女性）: [15:29] そうなん？
ゆのん（女性）: [15:30] そうなん？
みみこ（女性）: [15:31] なんで直さなきゃって思うでしょ？もう逆に言うと悪口書かれることがむしろなんか「はい、ありがとうございます」
ゆのん（女性）: [15:39] ええ！？
おさき（女性）: [15:39] ええ！？
みみこ（女性）: [15:40] 感じにとにかく言い返したくてしょうがないみたいな。
ゆのん（女性）: [15:42] だからなんか言われたらすぐ動画に出すし「このコメントについて話します」みたいな。
おさき（女性）: [15:47] ああ、やってるわ。
ゆのん（女性）: [15:48] でしょ？
おさき（女性）: [15:48] やってるわ。
ゆのん（女性）: [15:49] とにかくもう話さないと気がすまないみたいな。
おさき（女性）: [15:53] うんうんうんうん。
ゆのん（女性）: [15:53] だから病むっていうよりかはムカつくみたいな。言い返したくてムズムズするみたいな感じに近いですね。
おさき（女性）: [15:58] うんうん。
ゆのん（女性）: [15:59] うわあ。
