音声ファイル読み込み中...
ファイルサイズ: 24.7MB
Gemini 2.5 Pro に送信中...
処理時間: 225.2秒

===== 文字起こし結果 =====
[2:15] ナレーター（女性）: あなたのホロスコープでは、性格、恋愛、仕事運が分かります。
[2:20] ナレーター（女性）: まずは無料でお試し。概要欄のURLからチェック！
[2:25] 彌彌告（女性）: ガチで2人めっちゃ仲良いでしょ？
[2:27] おさき（女性）: え。
[2:28] おさき（女性）: なんか、ゆのんいつも言うのは、なんか「こんなに自分のこと話すのはさきちゃんだけ」みたいな。
[2:33] おさき（女性）: 感じで言ってくれて、さき的にはそんな良い対応してるつもりもないんですよ。
[2:38] おさき（女性）: なんか「はいはい」みたいな。結構流すタイプだから、人によっては嫌われちゃうかなとか思うんですけど、それ受け入れてくれる。
[2:46] おさき（女性）: ああ、もう相性ぴったりだなって思いますね。
[2:48] 彌彌告（女性）: あの、実はお二人、びっくりするぐらいホロスコープ似てます。
[2:53] 中島結音（女性）: えー！
[2:53] おさき（女性）: え？真反対だと思ってたでしょ？
[2:55] 彌彌告（女性）: え？ちょっと見てください。じゃん。
[2:58] 中島結音（女性）: えー！
[2:59] おさき（女性）: うそ。
[3:00] 中島結音（女性）: え、一緒じゃん。
[3:00] おさき（女性）: え、反対だと思ってた。
[3:01] 中島結音（女性）: えー！
[3:03] 中島結音（女性）: そんなことある？
[3:04] おさき（女性）: え？見て、あそこも。
[3:05] 中島結音（女性）: え、本当だ。
[3:06] おさき（女性）: だってこっち左側に、あんまいないくない？
[3:08] 中島結音（女性）: え、おらんね。
[3:09] 中島結音（女性）: え、こっからここじゃん。
[3:10] おさき（女性）: さきちゃんもこっからここじゃん。
[3:11] 中島結音（女性）: 本当だね。
[3:12] 彌彌告（女性）: 物の考え方とか理屈とか、人に関するこう好き嫌いに至るまで結構似てるはず。
[3:18] おさき（女性）: えー！
[3:18] 中島結音（女性）: 待って。
[3:19] 中島結音（女性）: 人のさ、「これと一緒」みたいなさ。
[3:22] おさき（女性）: 「この人も一緒」。
[3:23] 中島結音（女性）: めっちゃあるよね。
[3:24] おさき（女性）: 感性一緒だよね。
[3:25] 中島結音（女性）: そこら辺、めっちゃ分かるよね、そこら辺は。
[3:28] 彌彌告（女性）: 実は2人とも、心を許せる人少ないので。
[3:32] 中島結音（女性）: ふふふふ。
[3:33] おさき（女性）: ふふふふふ。
[3:34] 中島結音（女性）: ふふふふふ。
[3:34] おさき（女性）: ふふふふふ。
[3:36] 彌彌告（女性）: こんな感じになっちゃってる。
[3:37] 中島結音（女性）: ほんまにそう。
[3:38] おさき（女性）: ほんまにそう。
[3:39] 中島結音（女性）: ほんまにそう。
[3:39] 彌彌告（女性）: だからお互い貴重な存在のはず。
[3:41] 中島結音（女性）: えー！
[3:42] おさき（女性）: ほんまにそう。
[3:42] 彌彌告（女性）: そうなんです。
[3:43] 中島結音（女性）: ありがとうね。
[3:44] おさき（女性）: ありがとう。
[3:45] 中島結音（女性）: ふふふふふふ。
[3:51] 彌彌告（女性）: えっと、ゆのんさんのね、星がこういうことになってます。
[3:54] 中島結音（女性）: はい。
[3:55] 彌彌告（女性）: うーん。
[3:56] 彌彌告（女性）: 1番大切なこと、自分らしさとか本質ってのはこの太陽なんですね。
[4:00] 中島結音（女性）: はい。
[4:01] 彌彌告（女性）: 太陽重要で、太陽月ってのは表向きの顔でしょ？で、月ってのは裏の顔だから、これが割と近い位置にいるってことによって裏表がないってことになるので。
[4:10] 中島結音（女性）: あ、そういうことか。
[4:10] 彌彌告（女性）: そうそう。だから結構偉い人とか目上の人とか、あの力ががある人に好かれるっていうのもあるはず。
[4:17] 中島結音（女性）: えー！
[4:17] おさき（女性）: 確かに。
[4:18] 彌彌告（女性）: そうなんですよ。
[4:19] 中島結音（女性）: 年上にめっちゃ好かれるし、さ、年上も好きじゃん。
[4:22] おさき（女性）: 年上も好き。
[4:23] 彌彌告（女性）: 何でそういうことになるかっていうと、人によって態度を変えないので。
[4:26] 中島結音（女性）: ふふふ。
[4:27] おさき（女性）: 確かに。
[4:28] 彌彌告（女性）: 挨拶、お礼、これを徹底すると開運します。
[4:32] 中島結音（女性）: うわー！
[4:34] おさき（女性）: あ、でも本当にちっちゃい頃から、あの、おばあちゃんとかママからはもうずっともう「ゆのんはもうおばあちゃんからずっと『挨拶は大事よ』みたいな。挨拶大事、大事」みたいな感じで、「おはようございます」みたいなことももう大事にしてました。
[4:48] おさき（女性）: もう「ありがとう」とか、「天狗になりなさいよ」みたいな感じでずっと言われてました、おばあちゃんとかママからは。
[4:54] 彌彌告（女性）: そう。
[4:55] おさき（女性）: じゃあ変わらないでね。
[4:56] 中島結音（女性）: はい。
[4:56] おさき（女性）: ふふふふふ。
[4:58] 彌彌告（女性）: あと月と火星がこうぴったりくっついてるんすよ、今度は。
[5:02] 中島結音（女性）: おお。
[5:02] おさき（女性）: くっついてるじゃん。
[5:03] 彌彌告（女性）: くっついてる。
[5:04] おさき（女性）: くっついてる。
[5:05] 中島結音（女性）: これくっついてるよ。
[5:06] おさき（女性）: くっついてるじゃん。
[5:06] 彌彌告（女性）: そう。感情と行動が直結するので全てにおいてオーバーリアクション。
[5:12] 中島結音（女性）: ふふふふ。
[5:13] おさき（女性）: え？それ今見てたでしょ？
[5:14] 中島結音（女性）: ふふふふふふ。
[5:15] おさき（女性）: 今見てたでしょ？
[5:17] 彌彌告（女性）: ワックオン。ワックオン。
[5:19] 彌彌告（女性）: 感情を全てこう体でこう表現しちゃう。
[5:23] おさき（女性）: 確かに。
[5:24] 中島結音（女性）: 確かに。
[5:24] おさき（女性）: さきちゃんのことも「さきちゃんって」って言われる。
[5:27] 彌彌告（女性）: 全てお伝えしてくれる。
[5:29] 彌彌告（女性）: 必ず体のどっか動いてる。
[5:32] おさき（女性）: あ。
[5:32] 中島結音（女性）: 待って。
[5:33] おさき（女性）: あってる。
[5:34] 彌彌告（女性）: そうそうそうそう。
[5:35] 中島結音（女性）: ゆのんちょっと「落ち着いて」みたいに言われるんですよ。
[5:37] おさき（女性）: そうだ。
[5:37] 中島結音（女性）: 落ち着いてこっちは取り組んどるし、入り込んどるつもりなんじゃけど、「ちょっと落ち着ける」みたいに言うのがよく言われるんです。
[5:43] 中島結音（女性）: 「ちょっと抑えめに、あと20%ぐらいでいける？」みたいな感じ。
[5:47] おさき（女性）: 言われる。
[5:48] 中島結音（女性）: これですもん、もう仕方ない。
[5:50] 彌彌告（女性）: 最初から決まってますから。
[5:52] 中島結音（女性）: ふふふふ。
[5:53] 彌彌告（女性）: あとこの水星ね、ここにもう1個あるんですけど。
[5:56] 彌彌告（女性）: この水星の特性上、実は食べてコミュニケーションを取るのが好きってことなんです。
[6:01] 中島結音（女性）: 食べて。
[6:02] 彌彌告（女性）: 心を許してる人だったらご飯一緒に食べたい。
[6:05] 中島結音（女性）: へー。
[6:07] おさき（女性）: あたってる。
[6:08] 中島結音（女性）: あたってる。
[6:09] おさき（女性）: うわー！
[6:10] 中島結音（女性）: あー！
[6:11] おさき（女性）: え？今考えたら当たっとるわ。
[6:13] 彌彌告（女性）: ワックオン。ワックオン。
[6:17] 中島結音（女性）: ご飯行こうとか、食べに行こうって人は、ゆのんがちょっとリラックスできる人とかじゃないと行かんかも。
[6:22] おさき（女性）: 絶対行かないと思う。
[6:23] 中島結音（女性）: ご飯行こうとか。
[6:24] おさき（female）: そうなんだ。
[6:25] 彌彌告（女性）: そういう人とご飯食べてる時のゆのんちゃんって、すごい可愛くなるんですよ。
[6:31] 中島結音（female）: あ！
[6:32] 彌彌告（女性）: 子供みたいな感じになっちゃう気が。
[6:34] 中島結音（female）: 可愛いね。
[6:35] 中島結音（female）: 美味しいね！
[6:35] おさき（female）: 美味しいね！
[6:37] 彌彌告（女性）: 感じになるから。
[6:38] おさき（female）: ああ、そうだよ。
[6:39] 中島結音（female）: うまい！みたいな。
[6:40] 彌彌告（女性）: そうそうそうそう。
[6:41] 中島結音（female）: 美味しい。
[6:42] おさき（female）: 美味しい。
[6:43] 中島結音（female）: CM撮ってます、みたいな。
[6:44] おさき（female）: CM撮ってます、みたいな。
[6:46] 彌彌告（女性）: あとこの10番ですよね。この海王星を見ると、縛られたり、こう、なんか、ルールをゴリ押しされたりとかすると、もうその場から逃げたくなる。
[6:56] 中島結音（female）: うわ。
[6:57] 彌彌告（女性）: んですよ。
[6:57] おさき（female）: うわー！
[6:58] 中島結音（female）: うわー！
[6:59] おさき（female）: ふー。
[7:00] 中島結音（female）: うわー！
[7:01] おさき（female）: ほんまにそう。
[7:02] 中島結音（female）: ほんまにそう。
[7:03] おさき（female）: ほんまにそう。
[7:04] 彌彌告（女性）: 自分のやり方をこう否定されちゃうと急に自信がなくなっちゃう。
[7:09] 中島結音（female）: へー。
[7:10] 彌彌告（女性）: あの、調子崩しちゃう配置。
[7:12] おさき（female）: 確かに。
[7:13] 彌彌告（女性）: そうなんですよ。だから、そのやり方でいいよって風にこう後押ししてくれたり肯定してくれる人。
[7:19] 彌彌告（女性）: そういう環境にいた方が、実は自分はラッキーになっていくので。
[7:24] 中島結音（female）: これちょっとブブベってふざけて、「え、これちょっと面白くない？」って言ったら「面白い！」
[7:29] おさき（female）: ふふふふふふ。
[7:30] 中島結音（female）: 「面白い、面白い」みたいな。
[7:32] 中島結音（female）: 面白くなくても言ってくれたりとか、なんかそれでゆのは調子上がって。
[7:36] おさき（female）: 確かにそうだな。
[7:37] 中島結音（female）: ちょっと否定されると「ん？何この人」みたいな。
[7:40] おさき（female）: 何この人？ってか。
[7:41] 中島結音（female）: え、え？面白くなかったか、みたいな。
[7:43] おさき（female）: 結構気にするから「今日ゆのんしけたわ」みたいな。
[7:47] 中島結音（female）: ふふふふ。
[7:48] おさき（female）: 「今日ゆのん調子悪かったね。しらけたね、なんか」
[7:50] 中島結音（female）: いやいやいやいや。
[7:52] おさき（female）: だからもうそこが可愛くて。
[7:54] 中島結音（female）: ふふふふ。
[7:55] おさき（female）: 意外と気にしてたんだ、みたいな。
[7:56] 彌彌告（女性）: で、あとここだね。ここはね、すごい重要です。
[8:00] 彌彌告（女性）: あの、家族とか自宅晩年自分の居場所。ここに土星が入っていて、土星はプレッシャーとか試練とか課題の星ですね。
[8:10] 中島結音（female）: えー！
[8:11] 彌彌告（女性）: この土星の特性を見るに、実はこれ完全に自分の家系の中心人物、ま、影のドンは多分ゆのんさん。
[8:21] 中島結音（female）: えー！
[8:22] おさき（female）: えー！
[8:23] 中島結音（female）: 影のドン。
[8:24] 彌彌告（女性）: うん。あの、どんなにお父さんとかおばあちゃんとか、色々ね、あの、目上の人がいたとしても、ゆのんちゃんがなんかポロッと言うと、「あ、そうかも」みたいな感じでもまとまってきたりとかしません？
[8:36] 中島結音（female）: あー。
[8:37] 彌彌告（女性）: なんか色々なこと。
[8:38] 中島結音（female）: え、こう行きたくないとか言ったら「ああ、じゃあ変える」みたいな。
[8:40] 彌彌告（female）: そう。
[8:41] 彌彌告（女性）: ワックオン。ワックオン。
[8:45] 中島結音（female）: 全てなんかある種コントロール。
[8:46] 彌彌告（女性）: 何でかっていうと、ちょっとどっかで家族を引っ張ってまとめていかないとっていう気持ちが、多分自分の中ですごく強く出る。
[8:55] 彌彌告（女性）: で、それがなんか幼少期が、それが芽生えたっていうのが出てるんだけど。
[9:00] 彌彌告（女性）: 大体4歳ぐらいなんだけど。
[9:02] 中島結音（female）: え？
[9:02] おさき（female）: 幼少期。
[9:03] 彌彌告（female）: 覚えてないよね、多分。
[9:04] 中島結音（female）: そう。
[9:04] おさき（female）: 責任感すごいね、4歳。
[9:05] 中島結音（female）: ふふふふふ。
[9:06] おさき（female）: ふふふふ。
[9:07] 中島結音（female）: すごいじゃん。
[9:08] 彌彌告（女性）: 何だろうな。
[9:10] 中島結音（female）: 4歳の時期はでもまあ、普通に幸せ。
[9:14] おさき（female）: ふふふふふ。
[9:15] 中島結音（female）: 楽しくて幸せやったけど、なんかパパとママが性格が真反対すぎて。
[9:22] 中島結音（female）: なんかめっちゃ喧嘩とかした時は結構、うわってなった時はあったけど。
[9:28] おさき（female）: へー、そうなんだ。
[9:30] 彌彌告（女性）: そういう時、多分自分が可愛いひとことポロッと言ったりとか、なんかこう2人のなんかこうちょっとね、真反対のところに、あの、まあ、例えばゆのんちゃんが「私はこうしたい」とかってポロッと可愛く言ったりとかすると、ちょっと喧嘩が収まるじゃないけど争いが収まる、とか。
[9:48] 中島結音（female）: ありそう。
[9:48] おさき（female）: へー。
[9:49] 中島結音（female）: あ、パパ今台所で怒って言ったわとか思って、パパんとこカチャカチャカチャとか言ってLINE打ったりとか。
[9:53] 彌彌告（女性）: そうそうそうそう、そういうことそういうこと。
[9:55] 中島結音（female）: そういうこと。
[9:55] 彌彌告（女性）: それをね、実際やってるはず、ちっちゃい頃からやってる。
[9:58] 中島結音（female）: だって喧嘩とかして欲しくないもん。
[10:00] おさき（female）: そうだよね。
[10:01] 中島結音（female）: すごい。
[10:02] おさき（female）: 喧嘩して欲しくないもん、だって。
[10:03] 中島結音（female）: 逆にさきにパパに対して行動ないなとか、パパが逆にママにそれ言い過ぎって時もあるんですよ。
[10:09] おさki（female）: うんうんうん。
[10:10] 中島結音（female）: だからそれはもうどっちもに言う。
[10:12] おさき（female）: あ、さきにやり過ぎとか。
[10:14] 中島結音（female）: もう「落ち着いて」とか。
[10:17] おさき（female）: いいじゃん。
[10:18] 中島結音（female）: いいじゃん。
[10:18] おさき（female）: めっちゃすごいじゃん。
[10:19] 中島結音（female）: ママが多分ゆのんっぽいんかな、ちょっと。
[10:22] 中島結音（female）: ママがちょっとゆのんの性格みたいな感じで、もう今の事しかなくちょっと目にないってか。
[10:27] 中島結音（female）: パパは、その、先の先まで考えてとっとんじゃけど、なんか。
[10:32] おさき（female）: ああ。
[10:33] 中島結音（female）: わかる？なんか、しっかりしてるのと。
[10:35] おさき（female）: めっちゃ。
[10:35] 中島結音（female）: ちょっとちょっとバカ。
[10:38] 中島結音（female）: みたいな。
[10:39] 中島結音（female）: ちょっと抜けてる、マイペースみたいなところが合って。
[10:41] 中島結音（female）: で、でもパパが怒った時の感じがゆのんにめっちゃ似てるんですよ。
[10:45] おさき（female）: へー。
[10:46] 中島結音（female）: 普段のゆのんの感じだとママっぽいんですけど、怒った時とかがめっちゃパパで、パパがカチって来るとこも分かるし。
[10:55] おさき（female）: あー。
[10:57] 中島結音（female）: 逆に言えばママがここ聞いてなかったりとか、こう思うよねって言うとこの感情はめっちゃ分かる。
[11:02] おさき（female）: へー。
[11:03] 彌彌告（女性）: で、あとね、このお部屋って、実はこう健康っていうキーワードもあるんですよ。
[11:09] 彌彌告（女性）: だから体、絶対に冷やさない方がいいです。
[11:12] 中島結音（female）: へー。
[11:13] 彌彌告（女性）: うん、そう。冷え性はどうですか？
[11:15] おさき（female）: 冷え性です。
[11:16] 中島結音（female）: 冷え性じゃけど暑がりなんですよ、なんか。
[11:18] 彌彌告（女性）: うんうんうんうん。
[11:19] 中島結音（female）: だからどうしたらいいんかな、みたいな。
[11:21] おさき（female）: やばいじゃん。
[11:22] 中島結音（female）: 常にもう家でもタンク。
[11:22] おさき（female）: 家でもタンクトップだよ、ゆのんは。
[11:24] 中島結音（female）: ゆのんは冬でもタンクトップです。
[11:27] 彌彌告（女性）: 子供欲しいよね。
[11:29] 中島結音（female）: 子供ですか？
[11:29] 彌彌告（女性）: うん、子供さんとか。
[11:30] 中島結音（female）: 3人欲しい。
[11:31] 彌彌告（女性）: そうだよね。
[11:32] 彌彌告（女性）: 体の冷えが、あの、関係してきちゃうから。
[11:36] おさき（female）: え。
[11:36] 中島結音（female）: お願い。
[11:37] 彌彌告（女性）: だから温めて欲しい。
[11:39] 中島結音（female）: わかりました。
[11:39] おさき（female）: 温めて、タンクトップもう着ないで。
[11:41] 中島結音（female）: ふふふふふ。
[11:42] 彌彌告（女性）: 冷え性なのにタンクトップ着ちゃうとかって何が起こってるかっていうと、多分ほてりになっちゃってる。
[11:48] 彌彌告（女性）: だから本当は体めっちゃ冷えてるのに、脳がちょっと暑いって認識しちゃってるから。
[11:54] 中島結音（female）: へー。
[11:55] 彌彌告（女性）: これあんま良くないケース。
[11:56] 中島結音（female）: えー！
[11:56] おさき（female）: えー！
[11:57] おさき（female）: じゃ、体はさ、寒がってるんじゃない？
[11:58] 彌彌告（女性）: 体は寒がってるけど、脳がほてって。
[12:02] 中島結音（female）: うわー！
[12:03] おさき（female）: やばいじゃん。
[12:04] 中島結音（female）: そんなの。
[12:05] おさき（female）: そんなのおかしいじゃん。
[12:07] 中島結音（female）: やばいじゃん。
[12:07] 彌彌告（女性）: 何でほてっちゃってるんですかね？
[12:08] 彌彌告（女性）: 冷えてる方が落ち着くみたいなのにはなってるはずなのね。
[12:12] 彌彌告（女性）: なんか水とか好きでしょ？水とか。
[12:14] 中島結音（female）: 好き。
[12:14] おさき（female）: 冷たいのが。
[12:15] 彌彌告（女性）: っていうのが実は落ち着くっていうのもあるの、一方でね。
[12:18] 彌彌告（女性）: だけど女性としては、やっぱりお子さんを産むっていう時に体温低いと不利になっちゃうんで。
[12:23] 中島結音（female）: はー。
[12:24] 彌彌告（女性）: オススメは、いわゆる首と言われてる所を温める。
[12:29] 彌彌告（女性）: 手首とか、足首とか。
[12:31] 中島結音（female）: へー。
[12:32] 彌彌告（女性）: ま、普通の首、ネックとか。
[12:34] 中島結音（female）: 守りな。
[12:34] おさき（female）: 首を。
[12:35] 彌彌告（女性）: タンクトップ着ながらそういうちょっとウォーマーだけが。
[12:38] 中島結音（female）: すごい状況。
[12:39] おさき（female）: すごい状況だよ。
[12:40] 中島結音（female）: これ見て、これ見て。
[12:42] 彌彌告（女性）: これ多分見てるYouTuber見てる人も許してくれる。
[12:47] 中島結音（female）: 確かに。
[12:48] おさき（female）: だからだ、ってなるね。
[12:49] 中島結音（female）: そうそうそうそう。
[12:50] おさき（female）: そこだけは。首だけは守って。
[12:51] 中島結音（female）: ふふふふふ。
[12:52] 彌彌告（女性）: いわゆる首っていうところがね、ちょっと温めると。
[12:55] 中島結音（female）: へー。
[12:55] おさき（female）: へー、そうなんだ。
[12:56] 彌彌告（女性）: そうすると体質改善がちょっとずつしてくると思う。
[12:59] 中島結音（female）: はい。
[12:59] 彌彌告（女性）: 今度はおさきちゃんの番。
[13:00] 中島結音（female）: イェーイ！
[13:01] おさき（female）: イェーイ！
[13:01] 中島結音（female）: 来た！
[13:02] おさき（female）: 来ました。
[13:03] 中島結音（female）: 来ました。
[13:07] 彌彌告（女性）: こちらになります。さっきもね、あの、もう、ファーストコンタクトとしては似てるよって話をしたと思うんですけど。
[13:08] 中島結音（female）: はい。
[13:13] 彌彌告（女性）: やはり大事なのが太陽なんで、この同じですね、6番ですね。
[13:17] 中島結音（female）: はい。
[13:18] 彌彌告（女性）: 今度は、太陽とこの金星と、あとこの火星ですね。ほとんど一緒にもうグッて固まってる、密集固まってるっていう。
[13:25] 中島結音（female）: うわー。
[13:26] おさき（female）: 集中。
[13:27] 中島結音（female）: うんうん。
[13:28] 彌彌告（女性）: 金星って美しい美の女神もちょっと関係してくるんです、英語で。
[13:32] 中島結音（female）: あー。
[13:33] 彌彌告（女性）: だから美っていうのがすごい関係してくるから、とにかくね、美しくなることとか自分磨きとかにこう余念がないっていう。
[13:42] おさき（female）: 美、美、美。
[13:43] おさき（female）: さきちゃんすごいなんか努力家。
[13:45] 彌彌告（女性）: そう、美意識がすごい強くて。
[13:47] 中島結音（female）: 確かに、すごい。
[13:47] 彌彌告（女性）: それに関してはもうとにかくコツコツ、コツコツ。
[13:51] 中島結音（female）: うわー！
[13:52] おさき（female）: そうです。
[13:52] 彌彌告（女性）: やっていくことになるんだよね。
[13:54] 中島結音（female）: すごくない？
[13:55] おさき（female）: 仕事がオフになったらとりあえず美容サロンどっか予約しなきゃ、みたいな。
[13:59] 彌彌告（女性）: そうそうそうそう。
[14:00] おさき（female）: なっちゃう。
[14:00] 彌彌告（女性）: で、細かいとこに目がいっちゃうの。
[14:03] 彌彌告（女性）: だから、なんか例えばここ細くしたいとか、肌綺麗にしたいとか、あの、とにかくテーマを決めてその時その時で解決策を考えない。
[14:07] 中島結音（female）: ああ！
[14:07] おさき（female）: そうなんです。
[14:12] 中島結音（female）: ふーん。
[14:12] おさき（female）: そうそうそう。
[14:13] 彌彌告（女性）: 今日は腕とか、今回は足とか。
[14:16] おさき（female）: そう。
[14:17] 中島結音（female）: すごい。
[14:18] おさき（female）: なんか、ちょっと気になるなって思ったら、そこ解決しなきゃ次に進めなくて、いろんな病院とか調べて薬とか調べたりして、そこ解決して次進む、みたいな。
[14:27] 彌彌告（女性）: そう、そうなんです。
[14:28] おさき（female）: え、すご！
[14:30] 彌彌告（女性）: ワックオン。ワックオン。
[14:33] 彌彌告（女性）: だから美容の分野で活躍するのはこう向いてるし、あとこう事故の開発生産を売るのも良い。
[14:37] 中島結音（female）: えー！
[14:40] おさき（female）: えー！
[14:41] 中島結音（female）: そうなんですか？
[14:42] 彌彌告（女性）: そう。だってとことん研究するから。
[14:44] 中島結音（female）: うわー！
[14:45] おさき（female）: 私プロデュース系やるの夢なので。
[14:47] 彌彌告（女性）: あ、それはすごい向いてるよ。
[14:49] おさき（female）: え、嬉しい。
[14:49] 中島結音（female）: おー。
[14:50] 彌彌告（女性）: うん。
[14:51] 彌彌告（女性）: ただね、あの、この細かい所に気がつきすぎるってことなんだけど、これ長所でもあり短所でもあるんけ。
[14:57] 彌彌告（女性）: 割と自分のことも気になっちゃうから、例えばエゴサしちゃったりとか、あの「なんて私言われてるんだろう」みたいなこともめちゃめちゃチェックしちゃうはずで。
[15:06] おさき（female）: しません。
[15:07] 中島結音（female）: へー。
[15:08] おさき（female）: なんかそれで落ち込むとかないんですけど、あんま病むとかはないんですけど、とにかく自分がどう思われてるか、すっごい気になる、みたいな。
[15:15] おさき（female）: ただただ気になって、めっちゃエゴサしちゃうし、自分のもう悪口とかも、もう見ちゃう。
[15:21] 彌彌告（女性）: そう。
[15:22] 彌彌告（女性）: で、悪口書かれると、それに対する対応策とか考え始める。
[15:26] 中島結音（female）: うわー！
[15:27] 彌彌告（女性）: なんかちょっとアスリートっぽいところ。
[15:28] 中島結音（female）: えー！
[15:29] おさき（female）: え、そうなん？
[15:30] 中島結音（female）: あー！
[15:31] 彌彌告（女性）: 何て直さなきゃって思うでしょ？
[15:34] 彌彌告（女性）: もう逆に言うと、悪口書かれることが、むしろなんか「はい、ありがとうございます」
[15:38] 中島結音（female）: えー！
[15:39] おさき（female）: えー！
[15:40] 彌彌告（女性）: 感じに、とにかく言い返したくてしょうがない、みたいな。
[15:42] おさき（female）: だからなんか言われたら、すぐ動画に出すし「このコメントについて話します」みたいな。
[15:47] 中島結音（female）: あー！
[15:47] おさき（female）: あー！やってるわ。
[15:48] 中島結音（female）: え？やってるわ。
[15:49] おさき（female）: とにかく、もう話さないと気が済まない、みたいな。
[15:52] 彌彌告（女性）: うんうんうんうん。
[15:53] おさき（female）: だから病むっていうよりかはムカつく、みたいな。
[15:55] おさき（female）: 言い返したくてむずむずする、みたいな。
[15:57] 彌彌告（女性）: うんうん。
[15:58] おさき（female）: 感じに近いですね。
[15:59] 中島結音（female）: うわー。
[16:00] おさき（female）: マシンガンみたいにベラベラベラベラ。
[16:02] 彌彌告（女性）: そう。
[16:03] 彌彌告（女性）: 大雑把に、わざと自分にこう鈍感力をつけるっていうのもすごい大事で。
[16:08] おさき（female）: 確かに。
